"","DATE","STATION","NAME","rain","temp"
"232",2014-03-22,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,17.8
"233",2014-03-23,"COM00080112","JOSE MARIA CORDOVA, CO",8.9,17.3
"234",2014-03-24,"COM00080112","JOSE MARIA CORDOVA, CO",7.1,16.4
"235",2014-03-25,"COM00080112","JOSE MARIA CORDOVA, CO",1,16.7
"236",2014-03-26,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,16.9
"237",2014-03-27,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.2
"238",2014-03-28,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.2
"239",2014-03-29,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,18
"240",2014-03-30,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.6
"241",2014-03-31,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17
"242",2014-04-01,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.8
"243",2014-04-02,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.1
"244",2014-04-03,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.3
"245",2014-04-04,"COM00080112","JOSE MARIA CORDOVA, CO",1,17.4
"246",2014-04-05,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.4
"247",2014-04-06,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,18.5
"248",2014-04-07,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,18.3
"249",2014-04-08,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.7
"250",2014-04-09,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,17.1
"251",2014-04-10,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.4
"252",2014-04-11,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.7
"253",2014-04-12,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.1
"254",2014-04-13,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,17.7
"255",2014-04-14,"COM00080112","JOSE MARIA CORDOVA, CO",0,18.2
"256",2014-04-15,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.8
"257",2014-04-16,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,16.5
"258",2014-04-17,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.7
"259",2014-04-18,"COM00080112","JOSE MARIA CORDOVA, CO",2,16
"260",2014-04-19,"COM00080112","JOSE MARIA CORDOVA, CO",2,16.9
"261",2014-04-20,"COM00080112","JOSE MARIA CORDOVA, CO",13,17.7
"262",2014-04-21,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.9
"263",2014-04-22,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.2
"264",2014-04-23,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.4
"265",2014-04-24,"COM00080112","JOSE MARIA CORDOVA, CO",23.1,16.2
"266",2014-04-25,"COM00080112","JOSE MARIA CORDOVA, CO",2,17
"267",2014-04-26,"COM00080112","JOSE MARIA CORDOVA, CO",37.1,16.1
"268",2014-04-27,"COM00080112","JOSE MARIA CORDOVA, CO",8.9,16.8
"269",2014-04-28,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.8
"270",2014-04-29,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,18.1
"271",2014-04-30,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.3
"272",2014-05-01,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.7
"273",2014-05-02,"COM00080112","JOSE MARIA CORDOVA, CO",29,16.2
"274",2014-05-03,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,17.7
"275",2014-05-04,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.3
"276",2014-05-05,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,18.1
"277",2014-05-06,"COM00080112","JOSE MARIA CORDOVA, CO",8.9,16.7
"278",2014-05-07,"COM00080112","JOSE MARIA CORDOVA, CO",23.1,15.7
"279",2014-05-08,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.6
"280",2014-05-09,"COM00080112","JOSE MARIA CORDOVA, CO",10.9,15.5
"281",2014-05-10,"COM00080112","JOSE MARIA CORDOVA, CO",8.9,15.9
"282",2014-05-11,"COM00080112","JOSE MARIA CORDOVA, CO",35.1,15.3
"283",2014-05-12,"COM00080112","JOSE MARIA CORDOVA, CO",21.1,16.3
"284",2014-05-13,"COM00080112","JOSE MARIA CORDOVA, CO",42.9,17.7
"285",2014-05-14,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.9
"286",2014-05-15,"COM00080112","JOSE MARIA CORDOVA, CO",15,16.7
"287",2014-05-16,"COM00080112","JOSE MARIA CORDOVA, CO",1,17.7
"288",2014-05-17,"COM00080112","JOSE MARIA CORDOVA, CO",7.9,16.9
"289",2014-05-18,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.2
"290",2014-05-19,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.9
"291",2014-05-20,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.8
"292",2014-05-21,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,16.3
"293",2014-05-22,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.7
"294",2014-05-23,"COM00080112","JOSE MARIA CORDOVA, CO",2,16.8
"295",2014-05-24,"COM00080112","JOSE MARIA CORDOVA, CO",23.1,17
"296",2014-05-25,"COM00080112","JOSE MARIA CORDOVA, CO",0,18
"297",2014-05-26,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.7
"298",2014-05-27,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.5
"299",2014-05-28,"COM00080112","JOSE MARIA CORDOVA, CO",0,19.2
"300",2014-05-29,"COM00080112","JOSE MARIA CORDOVA, CO",37.1,17.2
"301",2014-05-30,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.4
"302",2014-05-31,"COM00080112","JOSE MARIA CORDOVA, CO",33,17.6
"303",2014-06-01,"COM00080112","JOSE MARIA CORDOVA, CO",0,18
"304",2014-06-02,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.1
"305",2014-06-03,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.2
"306",2014-06-04,"COM00080112","JOSE MARIA CORDOVA, CO",3,18.1
"307",2014-06-05,"COM00080112","JOSE MARIA CORDOVA, CO",2,18
"308",2014-06-06,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,17.8
"309",2014-06-07,"COM00080112","JOSE MARIA CORDOVA, CO",27.9,17.4
"310",2014-06-08,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,16.9
"311",2014-06-09,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,18.4
"312",2014-06-10,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.8
"313",2014-06-11,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.8
"314",2014-06-12,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.4
"315",2014-06-13,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.9
"316",2014-06-14,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,18.5
"317",2014-06-15,"COM00080112","JOSE MARIA CORDOVA, CO",21.1,17.2
"318",2014-06-16,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,18.4
"319",2014-06-17,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.2
"320",2014-06-18,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.9
"321",2014-06-19,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.7
"322",2014-06-20,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.4
"323",2014-06-21,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.1
"324",2014-06-22,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,17.8
"325",2014-06-23,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.6
"326",2014-06-24,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,18.2
